rank,participant,C1,C2,C3,C4,C5,C6,C7,score,provenance
1,Ada Tours,20,19,15,15,10,9,8,96,frozen_2026-09-09
2,PAM Travel,20,20,15,14,10,6,8,93,frozen_2026-09-09
3,Aletea,18,20,15,15,4,8,9,89,frozen_2026-09-09
4,Турбосс,18,17,15,14,8,9,5,86,frozen_2026-09-09
5,Signature DMC,19,20,0,15,10,10,10,84,new_market_recall
6,Eurotur DMC Argentina,20,18,0,15,10,10,10,83,new_market_recall
7,Карибский клуб,18,15,15,14,10,5,6,83,frozen_2026-09-09
8,Say Hueque,20,20,0,15,10,8,9,82,frozen_2026-09-09
9,People Travel & Experience,19,20,0,15,10,9,9,82,new_market_recall
10,ITM group,18,16,15,15,10,3,4,81,frozen_2026-09-09
11,Defrantur,19,17,12,14,4,5,8,79,frozen_2026-09-09
12,Quimbaya Latin America,18,19,0,12,10,8,10,77,new_market_recall
13,Petru DMC Argentina,18,20,0,15,5,8,10,76,new_market_recall
14,Onesixth Expeditions,17,20,0,14,0,10,10,71,new_market_recall
15,Visit Patagonia,13,20,0,15,4,8,9,69,new_market_recall
16,Русский Экспресс,14,9,15,8,7,4,9,66,frozen_2026-09-09
17,ПАКС,12,8,15,5,3,2,7,52,frozen_2026-09-09
